department,course_num,section,semester,year,timeslot
AMS,537,1,Fall,2019,TUTH 04:00PM-05:20PM
AMS,501,1,Spring,2020,TUTH 04:00PM-05:20PM
AMS,501,2,Spring,2020,MW 08:30AM-09:50AM
AMS,586,1,Fall,2020,MW 08:30AM-09:50AM
AMS,537,1,Spring,2020,MW 04:00PM-05:20PM
AMS,501,1,Fall,2020,TUTH 04:00PM-05:20PM
AMS,586,1,Fall,2021,TUTH 04:00PM-05:20PM
AMS,507,1,Spring,2021,TUTH 08:30AM-09:50AM
AMS,510,1,Spring,2021,TUTH 01:00PM-02:20PM
AMS,540,1,Spring,2021,MW 07:00PM-08:20PM
AMS,595,1,Spring,2021,MW 04:00PM-05:20PM
AMS,542,1,Fall,2021,TUTH 04:00PM-05:20PM
AMS,550,1,Fall,2021,TUTH 08:30AM-09:50AM
AMS,570,1,Fall,2021,TUTH 01:00PM-02:20PM
AMS,540,1,Fall,2021,MW 05:30PM-06:50PM
AMS,595,1,Fall,2021,MW 08:30PM-09:50PM
AMS,585,2,SummerI,2021,TUTH 04:00PM-05:20PM
AMS,516,1,Spring,2022,MW 05:30PM-06:50PM
AMS,553,1,Spring,2022,TUTH 08:30AM-09:50AM
AMS,511,1,Spring,2022,TUTH 01:00PM-02:20PM
AMS,572,1,Fall,2022,MW 08:30PM-09:50PM
AMS,573,1,Fall,2022,TUTH 01:00PM-02:20PM
AMS,578,1,Fall,2022,TUTH 04:00PM-05:20PM
