department,course_num,section,semester,year,timeslot
CSE,519,1,Spring,2021,TUTH 04:00PM-05:20PM
CSE,526,1,Spring,2021,TUTH 04:00PM-05:20PM
CSE,599,1,Spring,2021,MW 08:30AM-09:50AM
CSE,534,1,Fall,2021,MW 08:30AM-09:50AM
CSE,508,1,Fall,2021,MW 04:00PM-05:20PM
CSE,528,1,Fall,2021,TUTH 04:00PM-05:20PM
CSE,599,1,Fall,2021,TUTH 04:00PM-05:20PM
CSE,548,1,Spring,2021,TUTH 08:30AM-09:50AM
CSE,549,1,Fall,2021,TUTH 01:00PM-02:20PM
CSE,506,1,Spring,2021,MW 07:00PM-08:20PM
CSE,581,1,Fall,2021,MW 04:00PM-05:20PM
CSE,587,1,Spring,2022,TUTH 04:00PM-05:20PM
CSE,541,1,Spring,2022,TUTH 08:30AM-09:50AM
CSE,564,1,Spring,2022,TUTH 08:30AM-09:50AM
CSE,599,1,Spring,2022,MW 08:30PM-09:50PM
